#YY  MM DD hh mm WDIR WSPD GST  WVHT   DPD   APD MWD   PRES  ATMP  WTMP  DEWP  VIS  TIDE
#yr  mo dy hr mn degT m/s  m/s     m   sec   sec deg    hPa  degC  degC  degC  nmi    ft
2010 02 04 22 11 999 99.0 99.0  2.04 11.11  6.02 359 9999.0 999.0  23.8 999.0 99.0 99.00
2010 02 04 22 41 999 99.0 99.0  1.93 11.11  6.22 352 9999.0 999.0  23.8 999.0 99.0 99.00
2010 02 04 23 11 999 99.0 99.0  1.94 11.11  6.19 348 9999.0 999.0  23.8 999.0 99.0 99.00
2010 02 04 23 41 999 99.0 99.0  1.98 11.11  6.42 349 9999.0 999.0  23.8 999.0 99.0 99.00
2010 02 05 00 11 999 99.0 99.0  1.97 10.53  6.42 352 9999.0 999.0  23.8 999.0 99.0 99.00
2010 02 05 00 41 999 99.0 99.0  1.98 11.76  6.70   4 9999.0 999.0  23.8 999.0 99.0 99.00
2010 02 05 01 11 999 99.0 99.0  2.08 10.53  6.71   0 9999.0 999.0  23.9 999.0 99.0 99.00
2010 02 05 01 41 999 99.0 99.0  2.06  9.88  6.65 352 9999.0 999.0  23.8 999.0 99.0 99.00
2010 02 05 02 11 999 99.0 99.0  2.02 12.50  6.65 348 9999.0 999.0  23.8 999.0 99.0 99.00
2010 02 05 02 41 999 99.0 99.0  1.98 13.33  6.66 345 9999.0 999.0  23.8 999.0 99.0 99.00
2010 02 05 03 11 999 99.0 99.0  2.07 11.76  6.37 349 9999.0 999.0  23.8 999.0 99.0 99.00
2010 02 05 03 41 999 99.0 99.0  2.06  9.88  6.53 352 9999.0 999.0  23.8 999.0 99.0 99.00
2010 02 05 04 11 999 99.0 99.0  1.93 12.50  6.12 348 9999.0 999.0  23.8 999.0 99.0 99.00
2010 02 05 04 41 999 99.0 99.0  1.96  9.88  6.51 353 9999.0 999.0  23.8 999.0 99.0 99.00
2010 02 05 05 11 999 99.0 99.0  1.95 13.33  6.42 349 9999.0 999.0  23.8 999.0 99.0 99.00
2010 02 05 05 41 999 99.0 99.0  1.99 11.11  6.35 357 9999.0 999.0  23.8 999.0 99.0 99.00
2010 02 05 06 11 999 99.0 99.0  2.00 12.50  6.42 342 9999.0 999.0  23.9 999.0 99.0 99.00
2010 02 05 06 41 999 99.0 99.0  1.96  9.88  6.42   3 9999.0 999.0  23.8 999.0 99.0 99.00
2010 02 05 07 11 999 99.0 99.0  1.93 10.53  6.21 355 9999.0 999.0  23.8 999.0 99.0 99.00
2010 02 05 07 41 999 99.0 99.0  1.97  9.09  6.28   2 9999.0 999.0  23.8 999.0 99.0 99.00
2010 02 05 08 11 999 99.0 99.0  1.97 13.33  6.35 345 9999.0 999.0  23.8 999.0 99.0 99.00
2010 02 05 08 41 999 99.0 99.0  1.99 12.50  6.22 348 9999.0 999.0  23.8 999.0 99.0 99.00
2010 02 05 09 11 999 99.0 99.0  2.04 12.50  6.21 348 9999.0 999.0  23.8 999.0 99.0 99.00
2010 02 05 09 41 999 99.0 99.0  2.01 13.33  6.17 349 9999.0 999.0  23.8 999.0 99.0 99.00
2010 02 05 10 11 999 99.0 99.0  1.94  7.14  6.13  25 9999.0 999.0  23.7 999.0 99.0 99.00
2010 02 05 10 41 999 99.0 99.0  1.92 11.76  5.94 348 9999.0 999.0  23.8 999.0 99.0 99.00
2010 02 05 11 11 999 99.0 99.0  2.00  9.88  6.02 359 9999.0 999.0  23.8 999.0 99.0 99.00
2010 02 05 11 41 999 99.0 99.0  2.07 14.29  6.33 346 9999.0 999.0  23.8 999.0 99.0 99.00
2010 02 05 12 11 999 99.0 99.0  2.08 10.53  6.61 356 9999.0 999.0  23.8 999.0 99.0 99.00
2010 02 05 12 41 999 99.0 99.0  2.00 11.11  6.50 345 9999.0 999.0  23.8 999.0 99.0 99.00
2010 02 05 13 11 999 99.0 99.0  1.93  9.09  6.29   6 9999.0 999.0  23.8 999.0 99.0 99.00
2010 02 05 13 41 999 99.0 99.0  1.92 13.33  6.36 336 9999.0 999.0  23.7 999.0 99.0 99.00
2010 02 05 14 11 999 99.0 99.0  1.94 11.11  6.00 346 9999.0 999.0  23.7 999.0 99.0 99.00
2010 02 05 14 41 999 99.0 99.0  2.03  9.88  5.99 357 9999.0 999.0  23.8 999.0 99.0 99.00
