#YY  MM DD hh mm WDIR WSPD GST  WVHT   DPD   APD MWD   PRES  ATMP  WTMP  DEWP  VIS  TIDE
#yr  mo dy hr mn degT m/s  m/s     m   sec   sec degT   hPa  degC  degC  degC   mi    ft
2012 01 01 00 10 999 99.0 99.0  1.38  9.09  7.10  78 9999.0 999.0  23.9 999.0 99.0 99.00
2012 01 01 00 40 999 99.0 99.0  1.40  9.09  6.79  89 9999.0 999.0  23.9 999.0 99.0 99.00
2012 01 01 01 10 999 99.0 99.0  1.42  9.88  6.76  92 9999.0 999.0  23.9 999.0 99.0 99.00
2012 01 01 01 40 999 99.0 99.0  1.51  9.09  7.10  75 9999.0 999.0  23.9 999.0 99.0 99.00
2012 01 01 02 10 999 99.0 99.0  1.41  9.88  7.12  91 9999.0 999.0  23.9 999.0 99.0 99.00
2012 01 01 02 39 999 99.0 99.0  1.50  9.88  7.34  91 9999.0 999.0  23.9 999.0 99.0 99.00
2012 01 01 03 10 999 99.0 99.0  1.62  9.88  7.45  85 9999.0 999.0  23.9 999.0 99.0 99.00
2012 01 01 03 40 999 99.0 99.0  1.45 10.53  7.13  96 9999.0 999.0  23.9 999.0 99.0 99.00
2012 01 01 04 10 999 99.0 99.0  1.65  9.09  7.24  86 9999.0 999.0  23.9 999.0 99.0 99.00
2012 01 01 04 40 999 99.0 99.0  1.55 10.53  6.81  77 9999.0 999.0  23.9 999.0 99.0 99.00
2012 01 01 05 10 999 99.0 99.0  1.44  9.88  6.44  84 9999.0 999.0  23.9 999.0 99.0 99.00
2012 01 01 05 39 999 99.0 99.0  1.57  9.88  6.48  85 9999.0 999.0  23.9 999.0 99.0 99.00
2012 01 01 06 10 999 99.0 99.0  1.58  9.88  6.55  82 9999.0 999.0  23.8 999.0 99.0 99.00
2012 01 01 06 40 999 99.0 99.0  1.49  9.88  6.42  82 9999.0 999.0  23.8 999.0 99.0 99.00
2012 01 01 07 10 999 99.0 99.0  1.43  9.09  6.12  89 9999.0 999.0  23.8 999.0 99.0 99.00
2012 01 01 07 40 999 99.0 99.0  1.38  9.88  6.06  86 9999.0 999.0  23.8 999.0 99.0 99.00
2012 01 01 08 10 999 99.0 99.0  1.42  9.88  6.19  96 9999.0 999.0  23.8 999.0 99.0 99.00
2012 01 01 08 40 999 99.0 99.0  1.48  9.09  6.39  82 9999.0 999.0  23.8 999.0 99.0 99.00
2012 01 01 09 10 999 99.0 99.0  1.52  9.09  6.62  82 9999.0 999.0  23.8 999.0 99.0 99.00
2012 01 01 09 40 999 99.0 99.0  1.43  9.88  6.43  79 9999.0 999.0  23.8 999.0 99.0 99.00
2012 01 01 10 09 999 99.0 99.0  1.40  9.88  6.47  78 9999.0 999.0  23.8 999.0 99.0 99.00
2012 01 01 10 40 999 99.0 99.0  1.43  9.09  6.40  79 9999.0 999.0  23.8 999.0 99.0 99.00
2012 01 01 11 10 999 99.0 99.0  1.45  9.88  6.52  71 9999.0 999.0  23.9 999.0 99.0 99.00
2012 01 01 11 40 999 99.0 99.0  1.39  9.88  6.21  69 9999.0 999.0  23.8 999.0 99.0 99.00
2012 01 01 12 10 999 99.0 99.0  1.49  9.88  6.78  77 9999.0 999.0  23.8 999.0 99.0 99.00
2012 01 01 12 39 999 99.0 99.0  1.45  9.88  6.75  78 9999.0 999.0  23.8 999.0 99.0 99.00
2012 01 01 13 10 999 99.0 99.0  1.31  9.88  6.54  69 9999.0 999.0  23.8 999.0 99.0 99.00
2012 01 01 13 40 999 99.0 99.0  1.35  9.88  6.78  71 9999.0 999.0  23.8 999.0 99.0 99.00
2012 01 01 14 10 999 99.0 99.0  1.37 10.53  6.59  71 9999.0 999.0  23.8 999.0 99.0 99.00
2012 01 01 14 40 999 99.0 99.0  1.44  9.88  7.07  86 9999.0 999.0  23.8 999.0 99.0 99.00
2012 01 01 15 10 999 99.0 99.0  1.35  9.88  6.77  75 9999.0 999.0  23.8 999.0 99.0 99.00
2012 01 01 15 40 999 99.0 99.0  1.33  9.88  6.88  78 9999.0 999.0  23.8 999.0 99.0 99.00
2012 01 01 16 10 999 99.0 99.0  1.32  9.88  6.97  68 9999.0 999.0  23.8 999.0 99.0 99.00
2012 01 01 16 40 999 99.0 99.0  1.25  9.88  6.81  75 9999.0 999.0  23.8 999.0 99.0 99.00
2012 01 01 17 10 999 99.0 99.0  1.27  9.88  6.96  79 9999.0 999.0  23.8 999.0 99.0 99.00
2012 01 01 17 40 999 99.0 99.0  1.28  9.88  6.74  77 9999.0 999.0  23.7 999.0 99.0 99.00
2012 01 01 18 10 999 99.0 99.0  1.28  9.88  6.86  77 9999.0 999.0  23.7 999.0 99.0 99.00
2012 01 01 18 40 999 99.0 99.0  1.34  9.88  6.82  79 9999.0 999.0  23.8 999.0 99.0 99.00
2012 01 01 19 10 999 99.0 99.0  1.44  9.88  7.06  79 9999.0 999.0  23.8 999.0 99.0 99.00
2012 01 01 19 40 999 99.0 99.0  1.27  9.88  6.67  81 9999.0 999.0  23.8 999.0 99.0 99.00
2012 01 01 20 10 999 99.0 99.0  1.42  9.88  7.05  72 9999.0 999.0  23.8 999.0 99.0 99.00
2012 01 01 20 40 999 99.0 99.0  1.36  9.88  6.71  72 9999.0 999.0  23.8 999.0 99.0 99.00
2012 01 01 21 09 999 99.0 99.0  1.39  9.09  6.77  74 9999.0 999.0  23.8 999.0 99.0 99.00
2012 01 01 21 40 999 99.0 99.0  1.44  9.88  6.67  77 9999.0 999.0  23.9 999.0 99.0 99.00
2012 01 01 22 10 999 99.0 99.0  1.48  9.88  6.94  77 9999.0 999.0  23.8 999.0 99.0 99.00
2012 01 01 22 40 999 99.0 99.0  1.41  9.09  6.73  65 9999.0 999.0  23.9 999.0 99.0 99.00
2012 01 01 23 10 999 99.0 99.0  1.63 16.67  7.42 358 9999.0 999.0  23.9 999.0 99.0 99.00
2012 01 01 23 40 999 99.0 99.0  1.71 15.38  7.61 351 9999.0 999.0  23.9 999.0 99.0 99.00
2012 01 02 00 10 999 99.0 99.0  1.72 18.18  7.81   2 9999.0 999.0  24.0 999.0 99.0 99.00
2012 01 02 00 40 999 99.0 99.0  1.59 16.67  7.54 358 9999.0 999.0  23.9 999.0 99.0 99.00
2012 01 02 01 10 999 99.0 99.0  1.73 15.38  8.21 355 9999.0 999.0  24.0 999.0 99.0 99.00
2012 01 02 01 40 999 99.0 99.0  1.74 15.38  8.54 352 9999.0 999.0  24.0 999.0 99.0 99.00
2012 01 02 02 10 999 99.0 99.0  1.94 16.67  9.02 358 9999.0 999.0  24.0 999.0 99.0 99.00
2012 01 02 02 39 999 99.0 99.0  1.90 15.38  8.63 348 9999.0 999.0  23.9 999.0 99.0 99.00
2012 01 02 03 10 999 99.0 99.0  2.17 15.38  9.55 352 9999.0 999.0  23.9 999.0 99.0 99.00
2012 01 02 03 40 999 99.0 99.0  2.15 14.29  9.52 352 9999.0 999.0  23.9 999.0 99.0 99.00
2012 01 02 04 10 999 99.0 99.0  2.13 14.29  9.29 349 9999.0 999.0  23.9 999.0 99.0 99.00
2012 01 02 04 40 999 99.0 99.0  2.10 15.38  9.24 351 9999.0 999.0  23.8 999.0 99.0 99.00
2012 01 02 05 10 999 99.0 99.0  2.36 15.38  9.78 352 9999.0 999.0  23.8 999.0 99.0 99.00
2012 01 02 05 40 999 99.0 99.0  2.19 14.29  9.27 355 9999.0 999.0  23.8 999.0 99.0 99.00
2012 01 02 06 10 999 99.0 99.0  2.27 14.29  9.58 349 9999.0 999.0  23.8 999.0 99.0 99.00
2012 01 02 08 10 999 99.0 99.0  2.43 12.50  9.62 349 9999.0 999.0  23.8 999.0 99.0 99.00
2012 01 02 08 40 999 99.0 99.0  2.21 13.33  9.02   1 9999.0 999.0  23.8 999.0 99.0 99.00
2012 01 02 09 10 999 99.0 99.0  2.20 13.33  8.73 359 9999.0 999.0  23.8 999.0 99.0 99.00
2012 01 02 09 40 999 99.0 99.0  2.20 14.29  9.02 348 9999.0 999.0  23.8 999.0 99.0 99.00
2012 01 02 10 10 999 99.0 99.0  2.11 12.50  8.78 355 9999.0 999.0  23.9 999.0 99.0 99.00
2012 01 02 10 40 999 99.0 99.0  2.23 12.50  8.74 354 9999.0 999.0  23.8 999.0 99.0 99.00
2012 01 02 11 10 999 99.0 99.0  2.20 14.29  8.69 355 9999.0 999.0  23.8 999.0 99.0 99.00
2012 01 02 11 40 999 99.0 99.0  2.27  9.88  8.66  20 9999.0 999.0  23.8 999.0 99.0 99.00
2012 01 02 12 10 999 99.0 99.0  2.01 14.29  8.36 348 9999.0 999.0  23.8 999.0 99.0 99.00
2012 01 02 12 40 999 99.0 99.0  2.26  9.88  8.70  19 9999.0 999.0  23.8 999.0 99.0 99.00
2012 01 02 13 10 999 99.0 99.0  1.86  9.88  8.17  58 9999.0 999.0  23.8 999.0 99.0 99.00
2012 01 02 13 40 999 99.0 99.0  2.11 11.11  8.57   3 9999.0 999.0  23.8 999.0 99.0 99.00
2012 01 02 14 10 999 99.0 99.0  1.87 14.29  8.58 351 9999.0 999.0  23.8 999.0 99.0 99.00
2012 01 02 14 40 999 99.0 99.0  1.90 11.76  8.35 359 9999.0 999.0  23.8 999.0 99.0 99.00
2012 01 02 15 40 999 99.0 99.0  1.98 10.53  8.55  15 9999.0 999.0  23.8 999.0 99.0 99.00
2012 01 02 16 10 999 99.0 99.0  1.82 14.29  8.69 352 9999.0 999.0  23.8 999.0 99.0 99.00
2012 01 02 16 40 999 99.0 99.0  1.84 13.33  8.29 354 9999.0 999.0  23.8 999.0 99.0 99.00
2012 01 02 17 10 999 99.0 99.0  1.66 14.29  8.33 359 9999.0 999.0  23.8 999.0 99.0 99.00
2012 01 02 17 40 999 99.0 99.0  1.78 11.76  8.52 356 9999.0 999.0  23.8 999.0 99.0 99.00
2012 01 02 18 10 999 99.0 99.0  1.74 15.38  8.52   8 9999.0 999.0  23.7 999.0 99.0 99.00
2012 01 02 18 40 999 99.0 99.0  1.66 13.33  8.23   1 9999.0 999.0  23.8 999.0 99.0 99.00
2012 01 02 19 10 999 99.0 99.0  1.85 12.50  9.05   3 9999.0 999.0  23.8 999.0 99.0 99.00
2012 01 02 19 40 999 99.0 99.0  1.73 11.11  8.44   8 9999.0 999.0  23.8 999.0 99.0 99.00
2012 01 02 20 10 999 99.0 99.0  1.79 14.29  8.69 355 9999.0 999.0  23.9 999.0 99.0 99.00
2012 01 02 20 40 999 99.0 99.0  1.71 15.38  8.81 358 9999.0 999.0  24.0 999.0 99.0 99.00
2012 01 02 21 10 999 99.0 99.0  1.69 14.29  8.83   1 9999.0 999.0  24.3 999.0 99.0 99.00
2012 01 02 21 40 999 99.0 99.0  1.72 14.29  8.98   6 9999.0 999.0  24.3 999.0 99.0 99.00
2012 01 02 22 10 999 99.0 99.0  1.81 14.29  9.14 358 9999.0 999.0  24.3 999.0 99.0 99.00
2012 01 02 22 40 999 99.0 99.0  1.77 14.29  9.20   1 9999.0 999.0  24.4 999.0 99.0 99.00
2012 01 02 23 10 999 99.0 99.0  1.65 13.33  8.64 356 9999.0 999.0  24.1 999.0 99.0 99.00
2012 01 02 23 40 999 99.0 99.0  1.64 14.29  8.76 356 9999.0 999.0  24.0 999.0 99.0 99.00
