#YY,MM,DD,hh,mm,WVHT,APD,MWD,outlier
2008,1,1,0,0,4.13,10.91,325.0,1
2008,1,1,1,0,3.83,10.8,328.0,1
2008,1,1,2,0,3.32,10.02,333.0,1
2008,1,1,3,0,3.76,10.5,322.0,1
2008,1,1,4,0,3.3,9.93,314.0,1
2008,1,1,5,0,3.03,9.89,301.0,1
2008,1,1,6,0,2.78,9.56,290.0,1
2008,1,1,7,0,2.58,9.62,283.0,1
2008,1,1,8,0,2.52,9.86,282.0,1
2008,1,1,9,0,2.17,9.55,303.0,1
2008,1,1,10,0,1.89,8.35,290.0,1
2008,1,1,11,0,1.71,7.15,312.0,1
2008,1,1,12,0,1.69,7.9,294.0,1
2008,1,1,13,0,1.41,6.65,313.0,1
2008,1,1,14,0,1.61,5.43,294.0,1
2008,1,1,15,0,1.33,5.22,250.0,1
2008,1,1,16,0,1.32,5.68,313.0,1
2008,1,1,17,0,1.14,5.51,320.0,1
2008,1,1,18,0,1.07,5.63,330.0,1
2008,1,1,19,0,0.96,5.95,318.0,1
2008,1,1,20,0,0.87,6.28,298.0,1
2008,1,1,21,0,0.84,4.94,270.0,1
2008,1,1,22,0,0.83,4.89,261.0,1
2008,1,1,23,0,0.98,4.53,172.0,1
2008,1,2,0,0,1.23,4.42,180.0,1
2008,1,2,1,0,1.41,4.88,183.0,1
2008,1,2,2,0,1.41,4.93,284.0,1
2008,1,2,3,0,1.49,5.18,262.0,1
2008,1,2,4,0,1.62,5.32,295.0,1
2008,1,2,5,0,1.8,5.39,206.0,1
2008,1,2,6,0,1.92,5.39,232.0,1
2008,1,2,7,0,2.15,6.03,236.0,1
2008,1,2,9,0,2.32,6.43,275.0,1
2008,1,2,10,0,2.49,6.78,288.0,1
2008,1,2,11,0,2.4,6.63,253.0,1
2008,1,2,12,0,2.1,6.41,258.0,1
2008,1,2,13,0,2.29,7.3,274.0,1
2008,1,2,14,0,2.31,6.98,285.0,1
2008,1,2,15,0,2.27,6.44,247.0,1
2008,1,2,16,0,2.56,6.98,240.0,1
2008,1,2,17,0,2.35,6.79,238.0,1
2008,1,2,18,0,2.4,7.05,271.0,1
2008,1,2,19,0,2.27,6.91,272.0,1
2008,1,2,20,0,2.46,7.05,260.0,1
2008,1,2,21,0,2.56,6.95,274.0,1
2008,1,2,22,0,2.71,6.94,263.0,1
2008,1,2,23,0,2.74,7.02,272.0,1
2008,1,3,0,0,2.95,6.92,273.0,1
2008,1,3,1,0,3.35,7.4,277.0,1
2008,1,3,2,0,3.25,7.13,273.0,1
2008,1,3,3,0,3.19,6.83,273.0,1
2008,1,3,4,0,3.3,6.49,265.0,1
2008,1,3,5,0,4.14,7.79,261.0,1
2008,1,3,6,0,3.83,7.5,271.0,1
2008,1,3,7,0,3.85,7.29,257.0,1
2008,1,3,8,0,4.09,7.38,265.0,1
2008,1,3,9,0,4.23,7.5,283.0,1
2008,1,3,10,0,3.93,7.95,272.0,1
2008,1,3,11,0,4.28,7.76,274.0,1
2008,1,3,12,0,4.53,7.61,252.0,1
2008,1,3,13,0,4.34,7.41,274.0,1
2008,1,3,14,0,4.32,7.72,251.0,1
2008,1,3,15,0,4.69,7.6,187.0,1
2008,1,3,16,0,4.38,7.75,261.0,1
2008,1,3,17,0,4.06,7.19,261.0,1
2008,1,3,18,0,4.33,7.09,191.0,1
2008,1,3,19,0,4.58,7.13,269.0,1
2008,1,3,21,0,4.07,7.92,267.0,1
2008,1,3,22,0,3.95,7.98,258.0,1
2008,1,3,23,0,3.47,7.84,276.0,1
2008,1,4,0,0,3.24,7.73,266.0,1
2008,1,4,1,0,3.38,7.87,270.0,1
2008,1,4,2,0,3.34,7.59,277.0,1
2008,1,4,3,0,3.59,7.49,267.0,1
2008,1,4,4,0,3.75,7.25,267.0,1
2008,1,4,5,0,3.56,6.87,269.0,1
2008,1,4,6,0,3.89,6.72,278.0,1
2008,1,4,7,0,4.03,6.83,216.0,1
2008,1,4,8,0,4.0,6.88,277.0,1
2008,1,4,9,0,3.6,6.36,288.0,1
2008,1,4,10,0,4.15,6.54,271.0,1
2008,1,4,15,0,4.29,7.04,189.0,1
2008,1,4,16,0,4.07,7.24,194.0,1
2008,1,4,17,0,4.19,7.28,208.0,1
2008,1,4,18,0,4.22,7.45,214.0,1
2008,1,4,19,0,4.39,7.74,194.0,1
2008,1,4,20,0,4.46,7.79,197.0,1
2008,1,4,21,0,4.78,7.64,197.0,1
2008,1,4,22,0,4.2,7.57,209.0,1
2008,1,4,23,0,5.29,8.43,208.0,1
2008,1,5,0,0,5.51,8.39,207.0,1
2008,1,5,1,0,6.14,8.99,219.0,1
2008,1,6,0,0,5.63,9.48,269.0,1
2008,1,6,1,0,5.97,9.86,272.0,1
2008,1,6,2,0,4.89,9.14,273.0,1
2008,1,6,3,0,5.46,9.6,267.0,1
2008,1,6,4,0,5.92,10.15,270.0,1
2008,1,6,5,0,5.23,9.96,273.0,1
2008,1,6,6,0,4.57,9.66,279.0,1
2008,1,6,7,0,4.58,9.47,283.0,1
2008,1,6,8,0,4.8,9.95,290.0,1
2008,1,6,9,0,4.5,9.25,276.0,1
2008,1,6,10,0,4.6,9.82,275.0,1
2008,1,6,11,0,4.25,9.57,265.0,1
2008,1,6,12,0,4.55,9.49,269.0,1
2008,1,6,13,0,5.0,10.31,266.0,1
2008,1,6,14,0,3.87,8.97,273.0,1
2008,1,6,15,0,4.04,8.86,280.0,1
2008,1,6,16,0,3.63,7.89,268.0,1
2008,1,6,17,0,3.96,8.03,273.0,1
2008,1,6,18,0,4.0,7.84,261.0,1
2008,1,6,20,0,4.03,7.72,261.0,1
2008,1,6,21,0,4.12,7.94,269.0,1
2008,1,6,22,0,3.79,7.24,271.0,1
2008,1,6,23,0,3.77,7.87,269.0,1
2008,1,7,0,0,3.61,7.87,271.0,1
2008,1,7,1,0,4.02,8.78,271.0,1
2008,1,7,2,0,3.81,8.51,283.0,1
2008,1,7,3,0,3.72,7.91,272.0,1
2008,1,7,4,0,3.49,7.7,263.0,1
2008,1,7,5,0,3.94,8.48,260.0,1
2008,1,7,6,0,3.65,8.58,285.0,1
2008,1,7,7,0,3.46,8.97,286.0,1
2008,1,7,8,0,3.35,8.49,287.0,1
2008,1,7,9,0,3.32,8.48,281.0,1
2008,1,7,10,0,3.05,7.57,282.0,1
2008,1,7,11,0,2.99,7.56,279.0,1
2008,1,7,12,0,3.12,7.72,277.0,1
2008,1,7,13,0,3.28,8.02,280.0,1
2008,1,7,14,0,3.05,7.96,290.0,1
2008,1,7,15,0,3.13,7.99,295.0,1
2008,1,7,16,0,3.2,8.23,294.0,1
2008,1,7,17,0,3.05,8.32,300.0,1
2008,1,7,18,0,3.13,8.41,289.0,1
2008,1,7,19,0,3.25,8.73,280.0,1
2008,1,7,20,0,4.18,9.92,282.0,1
2008,1,7,21,0,3.75,9.34,273.0,1
2008,1,7,22,0,3.88,9.71,278.0,1
2008,1,7,23,0,3.63,9.29,275.0,1
2008,1,8,0,0,3.69,9.19,275.0,1
2008,1,8,1,0,3.21,8.3,276.0,1
2008,1,8,2,0,3.13,7.85,271.0,1
2008,1,8,3,0,3.35,7.6,275.0,1
2008,1,8,4,0,2.94,6.9,283.0,1
2008,1,8,5,0,3.05,6.54,283.0,1
2008,1,8,6,0,3.11,6.04,289.0,1
2008,1,8,7,0,3.35,6.34,269.0,1
2008,1,8,8,0,3.67,6.4,279.0,1
2008,1,8,9,0,3.4,6.39,289.0,1
2008,1,8,10,0,3.51,6.31,277.0,1
2008,1,8,11,0,3.8,6.6,193.0,1
2008,1,8,12,0,4.14,6.66,197.0,1
2008,1,8,13,0,3.9,6.55,190.0,1
2008,1,8,14,0,3.99,6.67,203.0,1
2008,1,8,15,0,4.12,6.54,182.0,1
2008,1,8,16,0,4.21,6.75,208.0,1
2008,1,8,17,0,3.79,6.46,193.0,1
2008,1,8,18,0,4.53,7.1,198.0,1
2008,1,8,19,0,4.38,7.11,187.0,1
2008,1,8,20,0,4.26,7.56,198.0,1
2008,1,8,21,0,3.57,7.49,212.0,1
2008,1,8,22,0,3.41,7.52,262.0,1
2008,1,8,23,0,3.15,7.75,271.0,1
2008,1,9,0,0,2.78,7.65,283.0,1
2008,1,9,1,0,2.91,8.2,289.0,1
2008,1,9,2,0,2.91,8.09,283.0,1
2008,1,9,3,0,3.08,8.26,291.0,1
2008,1,9,4,0,2.63,7.87,282.0,1
2008,1,9,5,0,2.76,7.87,295.0,1
2008,1,9,6,0,2.87,8.09,281.0,1
2008,1,9,7,0,2.89,8.1,293.0,1
2008,1,9,8,0,2.87,7.95,285.0,1
2008,1,9,9,0,2.84,7.71,288.0,1
2008,1,9,10,0,2.98,7.95,307.0,1
2008,1,9,11,0,2.82,8.12,295.0,1
2008,1,9,12,0,2.69,7.85,284.0,1
2008,1,9,13,0,2.71,7.93,270.0,1
2008,1,9,14,0,2.75,8.31,295.0,1
2008,1,9,15,0,3.34,9.29,282.0,1
2008,1,9,16,0,3.43,9.84,271.0,1
2008,1,9,17,0,3.68,9.94,272.0,1
2008,1,9,18,0,3.85,10.44,266.0,1
2008,1,9,19,0,4.35,11.2,277.0,1
2008,1,9,20,0,3.82,9.5,281.0,1
2008,1,9,21,0,4.21,9.89,272.0,1
2008,1,9,22,0,4.55,9.94,266.0,1
2008,1,9,23,0,4.93,9.98,255.0,1
2008,1,10,0,0,4.82,9.84,273.0,1
2008,1,10,1,0,4.85,9.5,284.0,1
2008,1,10,2,0,4.85,9.58,270.0,1
2008,1,10,3,0,4.62,9.57,268.0,1
2008,1,10,4,0,4.38,8.81,263.0,1
2008,1,10,5,0,4.13,8.24,284.0,1
2008,1,10,6,0,3.96,7.58,277.0,1
2008,1,10,7,0,4.54,8.59,275.0,1
2008,1,10,8,0,3.87,7.23,272.0,1
2008,1,10,9,0,4.4,7.82,280.0,1
2008,1,10,10,0,3.99,7.16,281.0,1
2008,1,10,11,0,4.03,7.67,289.0,1
2008,1,10,12,0,4.4,8.15,282.0,1
2008,1,10,13,0,4.11,7.8,270.0,1
2008,1,10,14,0,4.27,8.47,278.0,1
2008,1,10,15,0,3.95,7.94,276.0,1
2008,1,10,16,0,3.75,7.58,274.0,1
2008,1,10,17,0,3.66,7.75,282.0,1
2008,1,10,18,0,3.35,7.14,277.0,1
2008,1,10,19,0,3.51,7.47,277.0,1
2008,1,10,20,0,3.14,7.03,266.0,1
2008,1,10,21,0,3.14,7.28,290.0,1
2008,1,10,22,0,3.36,7.4,261.0,1
2008,1,10,23,0,3.01,7.06,267.0,1
2008,1,11,0,0,2.82,7.06,291.0,1
2008,1,11,1,0,2.81,7.1,278.0,1
2008,1,11,2,0,2.58,6.72,272.0,1
2008,1,11,3,0,2.87,7.25,275.0,1
2008,1,11,4,0,2.87,6.99,266.0,1
2008,1,11,5,0,2.97,7.56,276.0,1
2008,1,11,6,0,2.54,7.41,290.0,1
2008,1,11,7,0,2.52,7.86,289.0,1
2008,1,11,8,0,2.49,7.46,277.0,1
2008,1,11,9,0,2.72,7.99,279.0,1
2008,1,11,10,0,2.32,7.44,290.0,1
2008,1,11,11,0,2.5,7.53,272.0,1
2008,1,11,12,0,2.45,7.8,269.0,1
2008,1,11,13,0,2.37,7.64,279.0,1
2008,1,11,14,0,2.46,8.09,288.0,1
2008,1,11,15,0,2.52,7.99,263.0,1
2008,1,11,16,0,2.3,8.12,246.0,1
2008,1,11,17,0,2.31,8.6,268.0,1
2008,1,11,18,0,2.53,9.25,263.0,1
2008,1,11,19,0,2.42,8.94,260.0,1
2008,1,11,20,0,2.69,9.77,254.0,1
2008,1,11,21,0,3.05,10.28,255.0,1
2008,1,11,22,0,3.3,10.44,256.0,1
2008,1,11,23,0,3.51,10.38,271.0,1
2008,1,12,0,0,4.25,10.93,277.0,1
2008,1,12,1,0,4.68,11.59,266.0,1
2008,1,12,2,0,4.37,10.88,269.0,1
2008,1,12,3,0,4.73,11.72,263.0,1
2008,1,12,4,0,4.51,12.13,258.0,1
2008,1,12,5,0,4.57,12.21,256.0,1
2008,1,12,6,0,3.85,11.38,251.0,1
2008,1,12,7,0,4.28,11.83,265.0,1
2008,1,12,8,0,4.27,11.62,261.0,1
2008,1,12,9,0,3.94,10.93,254.0,1
2008,1,12,10,0,3.91,10.39,252.0,1
2008,1,12,11,0,3.77,9.83,267.0,1
2008,1,12,12,0,3.95,9.1,267.0,1
2008,1,12,13,0,4.07,9.32,258.0,1
2008,1,12,14,0,3.53,7.89,252.0,1
2008,1,12,15,0,3.76,8.21,260.0,1
2008,1,12,16,0,3.57,8.49,260.0,1
2008,1,12,17,0,4.09,9.8,257.0,1
2008,1,12,18,0,3.36,8.48,261.0,1
2008,1,12,19,0,3.52,8.92,267.0,1
2008,1,12,20,0,3.44,9.46,264.0,1
2008,1,12,21,0,3.56,9.73,254.0,1
2008,1,12,22,0,2.76,9.25,262.0,1
2008,1,12,23,0,2.58,8.66,265.0,1
2008,1,13,0,0,2.82,9.89,280.0,1
2008,1,13,1,0,2.63,9.33,280.0,1
2008,1,13,2,0,2.46,9.55,291.0,1
2008,1,13,3,0,2.89,10.48,284.0,1
2008,1,13,4,0,3.05,10.74,311.0,1
2008,1,13,5,0,3.66,12.19,311.0,1
2008,1,13,6,0,3.99,12.37,313.0,1
2008,1,13,8,0,4.21,12.18,301.0,1
2008,1,13,9,0,4.96,12.39,305.0,1
2008,1,13,10,0,4.5,11.6,320.0,1
2008,1,13,11,0,4.86,11.83,317.0,1
2008,1,13,12,0,4.29,11.18,307.0,1
